Sample_ID,Location,Region,Capture_date,collect_method,Escap_yr,Outmig_yr,collection_julian_day,capture_fork_length_juvs_mm,mean_exog,time_bin_use,NATLOC_new,WYlabel,life_stage,Phenotype,WYT,Natal_Exit_um,FWDist_um,Natal_exit_FL_mm,FW_exit_FL_mm
DM14001,Steamboat Slough,Within Delta,27/05/2014,sein,NA,2014,147,87,1,"(90,210]",AME,2014 (1),Juvenile,Early,Drought,228.1194,NA,35.93707032,NA
DM14009,Clarksburg,Within Delta,06/03/2014,sein,NA,2014,65,48,2,"(-30,90]",AME,2014 (1),Juvenile,Early,Drought,210.9264,NA,35.57156434,NA
DM14013,Clarksburg,Within Delta,12/03/2014,sein,NA,2014,71,47,1.5,"(-30,90]",AME,2014 (1),Juvenile,Early,Drought,196.1068,NA,35.25651446,NA
DM14015,Clarksburg,Within Delta,12/03/2014,sein,NA,2014,71,37,1.666666667,"(-30,90]",AME,2014 (1),Juvenile,Early,Drought,232.3635,NA,36.02729565,NA
DM14068,Rio Vista,Within Delta,11/03/2014,sein,NA,2014,70,36,1.5,"(-30,90]",AME,2014 (1),Juvenile,Early,Drought,178.745,NA,34.88741996,NA
DM14074,Rio Vista,Within Delta,11/03/2014,sein,NA,2014,70,59,1,"(-30,90]",AME,2014 (1),Juvenile,Late,Drought,330.3523,NA,48.84626202,NA
DM14084,Isleton,Within Delta,29/04/2014,sein,NA,2014,119,66,2,"(90,210]",AME,2014 (1),Juvenile,Early,Drought,188.8714,NA,35.10269709,NA
DM14093,Eddo’s,Within Delta,01/04/2014,sein,NA,2014,91,58,1.666666667,"(90,210]",AME,2014 (1),Juvenile,Early,Drought,212.3101,NA,35.60098042,NA
DM14097,Eddo’s,Within Delta,01/04/2014,sein,NA,2014,91,56,2,"(90,210]",AME,2014 (1),Juvenile,Early,Drought,216.1068,NA,35.68169446,NA
DM14121,Sherman Island,Within Delta,25/03/2014,sein,NA,2014,84,43,1.666666667,"(-30,90]",AME,2014 (1),Juvenile,Early,Drought,228.7291,NA,35.95003194,NA
DM14125,Eddo’s,Within Delta,25/03/2014,sein,NA,2014,84,45,1.166666667,"(-30,90]",AME,2014 (1),Juvenile,Early,Drought,174.4761,NA,34.79666741,NA
DM14131,Antioch Dunes,Within Delta,20/03/2014,sein,NA,2014,79,38,2,"(-30,90]",AME,2014 (1),Juvenile,Early,Drought,208.8637,NA,35.5277134,NA
DM14132,Antioch Dunes,Within Delta,20/03/2014,sein,NA,2014,79,55,1,"(-30,90]",AME,2014 (1),Juvenile,Early,Drought,187.8966,NA,35.08197382,NA
